Area_Name,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Urban_Influence_Code_2024
Abbeville County,15.5,727.0,,,14.7,515.0,11.8,2790.0,46919.0,28.5,1339.0,,,28.5,1001.0,18.8,4444.0,56241.0,51580.0,22.0,,21.6,15.3,1033.0,,758.0,3617.0,6.0,6.0,5.0,5.0
Acadia Parish,24.2,3438.0,,,22.7,2364.0,21.5,11976.0,39746.0,38.8,5530.0,,,38.7,4024.0,28.5,15918.0,46520.0,43133.0,31.5,,30.7,25.0,4484.0,,3194.0,13947.0,2.0,2.0,2.0,4.0
Accomack County,16.8,1114.0,,,16.9,836.0,13.8,4557.0,50927.0,31.4,2080.0,,,31.9,1582.0,20.8,6823.0,61151.0,56039.0,24.1,,24.4,17.3,1597.0,,1209.0,5690.0,8.0,9.0,6.0,9.0
Ada County,5.9,6599.0,,,4.8,4078.0,7.2,36684.0,88182.0,9.1,10087.0,,,8.0,6844.0,8.8,44722.0,92844.0,90513.0,7.5,,6.4,8.0,8343.0,,5461.0,40703.0,2.0,2.0,2.0,4.0
Adair County,9.2,151.0,,,8.2,99.0,7.6,551.0,59877.0,17.4,289.0,,,16.6,201.0,12.0,867.0,75869.0,67873.0,13.3,,12.4,9.8,220.0,,150.0,709.0,8.0,8.0,7.0,6.0
Adams County,10.2,13006.0,,,9.4,8943.0,8.5,44842.0,91022.0,15.4,19678.0,,,14.8,14007.0,10.9,57652.0,99534.0,95278.0,12.8,,12.1,9.7,16342.0,,11475.0,51247.0,1.0,1.0,1.0,1.0
Addison County,5.3,311.0,,,4.0,177.0,6.6,2281.0,76102.0,11.9,703.0,,,10.8,475.0,10.8,3739.0,88366.0,82234.0,8.6,,7.4,8.7,507.0,,326.0,3010.0,6.0,6.0,6.0,6.0
Aiken County,12.7,4732.0,,,12.6,3469.0,12.0,20907.0,62877.0,22.7,8500.0,,,23.2,6381.0,16.2,28125.0,72661.0,67769.0,17.7,,17.9,14.1,6616.0,,4925.0,24516.0,2.0,2.0,2.0,4.0
Aitkin County,11.1,261.0,,,9.5,175.0,10.0,1583.0,54862.0,21.1,499.0,,,19.7,363.0,14.2,2245.0,64826.0,59844.0,16.1,,14.6,12.1,380.0,,269.0,1914.0,8.0,8.0,4.0,3.0
Alabama,20.5,226963.0,21.6,61943.0,19.2,157700.0,15.3,762230.0,61546.0,22.1,245677.0,24.8,70971.0,21.2,174262.0,16.1,797856.0,62950.0,62248.0,21.3,23.2,20.2,15.7,236320.0,66457.0,165981.0,780043.0,,,,
Alachua County,12.9,6475.0,,,12.4,4593.0,16.3,43744.0,57378.0,22.1,11019.0,,,21.8,8015.0,20.7,55304.0,66308.0,61843.0,17.5,,17.1,18.5,8747.0,,6304.0,49524.0,2.0,2.0,2.0,4.0
Alamance County,11.7,4527.0,,,10.2,2919.0,10.4,18026.0,61352.0,20.3,7845.0,,,18.6,5365.0,14.6,25328.0,71438.0,66395.0,16.0,,14.4,12.5,6186.0,,4142.0,21677.0,3.0,3.0,2.0,4.0
Alameda County,7.1,22066.0,,,7.1,16450.0,8.7,138959.0,115954.0,10.9,34168.0,,,11.3,26022.0,10.3,164785.0,122506.0,119230.0,9.0,,9.2,9.5,28117.0,,21236.0,151872.0,1.0,1.0,1.0,1.0
Alamosa County,18.4,724.0,,,17.6,518.0,17.7,2782.0,45381.0,33.6,1320.0,,,33.0,970.0,25.7,4050.0,54731.0,50056.0,26.0,,25.3,21.7,1022.0,,744.0,3416.0,7.0,7.0,11.0,7.0
Alaska,11.4,19587.0,12.7,5648.0,9.8,12439.0,9.9,71582.0,86365.0,13.6,23549.0,16.3,7254.0,12.6,16039.0,11.1,79606.0,91027.0,88696.0,12.5,14.5,11.2,10.5,21568.0,6451.0,14239.0,75594.0,,,,
Albany County,11.6,6391.0,,,11.3,4621.0,11.6,34593.0,78145.0,17.6,9703.0,,,17.3,7097.0,14.2,42579.0,84241.0,81193.0,14.6,,14.3,12.9,8047.0,,5859.0,38586.0,2.0,2.0,2.0,4.0
Albemarle County,6.3,1364.0,,,5.5,911.0,6.5,6951.0,95145.0,11.1,2428.0,,,10.7,1747.0,9.5,10269.0,110355.0,102750.0,8.7,,8.1,8.0,1896.0,,1329.0,8610.0,3.0,3.0,2.0,4.0
Alcona County,18.1,239.0,,,17.2,161.0,13.3,1379.0,48071.0,33.1,435.0,,,33.6,313.0,18.3,1903.0,57995.0,53033.0,25.6,,25.4,15.8,337.0,,237.0,1641.0,9.0,9.0,10.0,9.0
Alcorn County,16.9,1257.0,,,14.3,794.0,15.4,5138.0,44212.0,29.7,2211.0,,,27.9,1550.0,22.0,7338.0,52900.0,48556.0,23.3,,21.1,18.7,1734.0,,1172.0,6238.0,7.0,7.0,8.0,7.0
Aleutians East Borough,12.8,24.0,,,12.9,18.0,12.9,447.0,71794.0,24.4,46.0,,,25.7,36.0,23.1,801.0,94206.0,83000.0,18.6,,19.3,18.0,35.0,,27.0,624.0,9.0,9.0,12.0,9.0
