Area_Name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,2023 Rural-urban Continuum Code,2024 Urban Influence Code,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2008-12","Bachelor's degree or higher, 2019-23","Four years of college or higher, 1970","Four years of college or higher, 1980","High school diploma only, 1970","High school diploma only, 1980","High school graduate (or equivalency), 1990","High school graduate (or equivalency), 2000","High school graduate (or equivalency), 2008-12","High school graduate (or equivalency), 2019-23","Less than a high school diploma, 1970","Less than a high school diploma, 1980","Less than high school graduate, 1990","Less than high school graduate, 2000","Less than high school graduate, 2008-12","Less than high school graduate, 2019-23","Percent of adults completing four years of college or higher, 1970","Percent of adults completing four years of college or higher, 1980","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing some college or associate degree, 1990","Percent of adults completing some college or associate degree, 2000","Percent of adults completing some college or associate degree, 2008-12","Percent of adults completing some college or associate degree, 2019-23","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults who are not high school graduates, 1990","Percent of adults who are not high school graduates, 2000","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are not high school graduates, 2019-23","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a bachelor's degree or higher, 2008-12","Percent of adults with a bachelor's degree or higher, 2019-23","Percent of adults with a high school diploma only, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults with less than a high school diploma, 1970","Percent of adults with less than a high school diploma, 1980","Some college (1-3 years), 1970","Some college (1-3 years), 1980","Some college or associate degree, 1990","Some college or associate degree, 2000","Some college or associate degree, 2008-12","Some college or associate degree, 2019-23"
Alabama,,,,,399228.0,549608.0,705001.0,957081.0,141936.0,270063.0,468269.0,704207.0,749591.0,877216.0,991406.0,1046374.0,1062306.0,964840.0,843638.0,714081.0,551030.0,409381.0,7.8,12.2,7.5,12.5,21.7,25.9,29.02286617,30.02828639,29.4,30.4,31.30995723,30.34461599,33.1,24.7,17.40228093,11.87195901,15.7,19.0,22.26489567,27.75513862,25.9,31.8,58.7,43.5,136287.0,278205.0,553512.0,746495.0,918987.0,1035466.0
Alaska,,,,,74497.0,93807.0,122968.0,152432.0,19082.0,44554.0,50820.0,82180.0,92925.0,105812.0,121272.0,141206.0,44994.0,36941.0,43244.0,44282.0,37652.0,31854.0,14.1,21.1,14.9,22.6,34.9,35.7,37.01342664,33.28755921,28.7,27.9,27.09728451,28.94140844,13.4,11.7,8.413046344,6.528756741,23.0,24.7,27.47624251,31.24227562,37.7,38.9,33.3,17.5,20052.0,47722.0,112763.0,135655.0,165651.0,162411.0
Arizona,,,,,466873.0,766212.0,1105103.0,1627462.0,115020.0,271460.0,289781.0,535096.0,601440.0,791904.0,1012503.0,1171693.0,383873.0,430974.0,491080.0,619547.0,604136.0,544528.0,12.6,17.4,13.9,20.6,32.2,33.1,34.41514426,33.00082374,26.1,24.3,24.39792721,23.47784339,21.3,19.0,14.55765183,10.91100067,20.3,23.5,26.6292767,32.6103322,31.6,34.3,41.9,27.6,127063.0,321361.0,741784.0,1078521.0,1428213.0,1646950.0
Arkansas,,,,,199304.0,288428.0,380334.0,513221.0,70378.0,144677.0,271150.0,443429.0,489570.0,590416.0,674742.0,702778.0,635149.0,595637.0,503481.0,427449.0,320693.0,233857.0,6.7,10.8,7.6,11.5,20.3,24.5,28.38411922,29.06004025,32.7,34.1,35.1238054,34.3862032,33.7,24.7,16.69372668,11.44238198,13.3,16.7,19.79834871,25.11137457,25.6,33.2,60.1,44.5,80835.0,153375.0,303795.0,424907.0,545270.0,593923.0
California,,,,,4366674.0,5669966.0,7344555.0,9834361.0,1462266.0,2752865.0,3566578.0,4415732.0,4167897.0,4288452.0,4988559.0,5496195.0,4062367.0,3724736.0,4450528.0,4942743.0,4577493.0,4149146.0,13.4,19.6,16.4,22.4,30.5,30.0,29.88188943,27.69548704,22.3,20.1,20.6845521,20.4007075,23.8,23.2,18.98010877,15.40074795,23.4,26.6,30.45344969,36.50305751,32.8,31.4,37.4,26.5,1784772.0,3150653.0,5710400.0,6397739.0,7206710.0,7461496.0
Colorado,,,,,568256.0,907755.0,1220906.0,1806355.0,170326.0,382013.0,392787.0,575365.0,558312.0,644360.0,744320.0,811023.0,411837.0,355405.0,328056.0,363039.0,335459.0,292446.0,14.9,23.0,14.6,21.1,31.0,31.0,30.88688681,27.94850805,26.5,23.2,22.35954614,20.08211396,15.6,13.1,10.07726648,7.241390069,27.0,32.7,36.67630057,44.72798793,34.4,34.6,36.1,21.4,166188.0,351108.0,652448.0,861478.0,1028184.0,1128710.0
Connecticut,,,,,597693.0,720994.0,879089.0,1062403.0,230303.0,392564.0,534830.0,653884.0,648366.0,653300.0,677253.0,647094.0,740830.0,563760.0,457208.0,367656.0,268454.0,219549.0,13.7,20.7,10.7,15.3,22.5,24.1,24.94690171,23.83900684,29.5,28.5,27.85513338,25.54802825,20.8,16.0,11.04140104,8.668051403,27.2,31.4,36.15656387,41.9449135,31.7,34.4,44.0,29.7,179635.0,289956.0,495696.0,553667.0,606544.0,603807.0
Delaware,,,,,91722.0,128917.0,172084.0,250626.0,37630.0,60206.0,91211.0,124798.0,140030.0,161760.0,190866.0,206192.0,130463.0,108063.0,96472.0,89536.0,74349.0,61144.0,13.1,17.5,9.8,15.0,23.4,26.1,27.51922245,27.09299281,32.7,31.4,31.63537097,29.02305888,22.5,17.4,12.32308633,8.606473153,21.4,25.0,28.52232025,35.27747515,31.7,36.2,45.4,31.4,28091.0,51590.0,100275.0,134445.0,166032.0,192480.0
Florida,,,,,1624405.0,2462328.0,3435171.0,5263931.0,407264.0,930134.0,1219216.0,2189572.0,2679285.0,3165748.0,3915878.0,4346402.0,1882537.0,2082948.0,2271074.0,2219948.0,1860966.0,1643437.0,10.3,14.9,11.6,16.8,26.0,28.8,29.82724825,28.99963591,30.1,28.7,29.82929737,27.42157735,25.6,20.1,14.17595446,10.3684921,18.3,22.3,26.16749992,33.21029464,30.7,35.0,47.4,33.3,458864.0,1047471.0,2312404.0,3176621.0,3915609.0,4596529.0
Georgia,,,,,777158.0,1260178.0,1733171.0,2480907.0,216997.0,450267.0,528537.0,878923.0,1192935.0,1486006.0,1805733.0,1950698.0,1399175.0,1344821.0,1169815.0,1111349.0,972291.0,801324.0,9.2,14.6,9.0,13.3,22.0,25.6,27.7342536,27.85212035,29.6,28.7,28.92640266,26.89482784,29.1,21.4,15.57532646,11.04808178,19.3,24.3,27.76401728,34.20497004,22.4,28.5,59.4,43.6,211101.0,411517.0,883512.0,1328432.0,1731313.0,2020131.0
