Area_Name,CI90LB017P_2023,CI90LB017_2023,CI90LB04P_2023,CI90LB04_2023,CI90LB517P_2023,CI90LB517_2023,CI90LBALLP_2023,CI90LBALL_2023,CI90LBINC_2023,CI90UB017P_2023,CI90UB017_2023,CI90UB04P_2023,CI90UB04_2023,CI90UB517P_2023,CI90UB517_2023,CI90UBALLP_2023,CI90UBALL_2023,CI90UBINC_2023,MEDHHINC_2023,PCTPOV017_2023,PCTPOV04_2023,PCTPOV517_2023,PCTPOVALL_2023,POV017_2023,POV04_2023,POV517_2023,POVALL_2023,Rural_Urban_Continuum_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Urban_Influence_Code_2024
Alabama,20.5,226963.0,21.6,61943.0,19.2,157700.0,15.3,762230.0,61546.0,22.1,245677.0,24.8,70971.0,21.2,174262.0,16.1,797856.0,62950.0,62248.0,21.3,23.2,20.2,15.7,236320.0,66457.0,165981.0,780043.0,,,,
Alaska,11.4,19587.0,12.7,5648.0,9.8,12439.0,9.9,71582.0,86365.0,13.6,23549.0,16.3,7254.0,12.6,16039.0,11.1,79606.0,91027.0,88696.0,12.5,14.5,11.2,10.5,21568.0,6451.0,14239.0,75594.0,,,,
Arizona,15.1,234756.0,15.8,60510.0,14.1,163713.0,12.3,893776.0,76244.0,16.5,257814.0,18.4,70392.0,15.9,184331.0,12.9,942074.0,78072.0,77158.0,15.8,17.1,15.0,12.6,246285.0,65451.0,174022.0,917925.0,,,,
Arkansas,19.1,132654.0,19.9,35092.0,17.9,91995.0,15.0,446622.0,57628.0,21.3,147636.0,23.7,41616.0,20.5,105441.0,15.8,472778.0,59868.0,58748.0,20.2,21.8,19.2,15.4,140145.0,38354.0,98718.0,459700.0,,,,
California,14.6,1210490.0,14.1,288207.0,14.1,881147.0,11.9,4546196.0,94866.0,15.4,1274114.0,15.3,311999.0,15.1,940805.0,12.1,4649268.0,96080.0,95473.0,15.0,14.7,14.6,12.0,1242302.0,300103.0,910976.0,4597732.0,,,,
Colorado,10.1,120315.0,9.7,29119.0,9.4,83350.0,9.1,522400.0,91759.0,11.7,139187.0,12.3,37091.0,11.4,100914.0,9.7,554946.0,93821.0,92790.0,10.9,11.0,10.4,9.4,129751.0,33105.0,92132.0,538673.0,,,,
Connecticut,12.1,86487.0,11.9,20900.0,11.4,61217.0,9.8,346716.0,90074.0,13.9,98751.0,14.5,25524.0,13.6,72585.0,10.6,372384.0,92880.0,91477.0,13.0,13.2,12.5,10.2,92619.0,23212.0,66901.0,359550.0,,,,
Delaware,14.1,29469.0,14.5,7696.0,13.1,20149.0,10.3,103844.0,80048.0,16.7,34849.0,18.5,9778.0,16.3,25111.0,11.3,114562.0,83182.0,81615.0,15.4,16.5,14.7,10.8,32159.0,8737.0,22630.0,109203.0,,,,
Florida,15.4,663989.0,16.0,175337.0,14.5,465979.0,12.2,2696849.0,72710.0,16.6,715945.0,17.8,194517.0,16.1,514591.0,12.6,2786123.0,73856.0,73283.0,16.0,16.9,15.3,12.4,689967.0,184927.0,490285.0,2741486.0,,,,
Georgia,18.1,452784.0,18.8,116194.0,17.2,321803.0,13.4,1447988.0,73701.0,19.5,486576.0,21.0,130228.0,18.8,351271.0,14.0,1506720.0,75341.0,74521.0,18.8,19.9,18.0,13.7,469680.0,123211.0,336537.0,1477354.0,,,,
Hawaii,10.7,30498.0,9.6,7190.0,10.1,21252.0,9.7,136530.0,94413.0,12.9,36898.0,13.2,9870.0,12.9,27066.0,10.7,149856.0,99019.0,96716.0,11.8,11.4,11.5,10.2,33698.0,8530.0,24159.0,143193.0,,,,
Idaho,10.3,47643.0,11.7,12965.0,9.0,31558.0,9.7,185796.0,73766.0,12.3,56567.0,14.7,16291.0,11.4,39784.0,10.5,202080.0,75952.0,74859.0,11.3,13.2,10.2,10.1,52105.0,14628.0,35671.0,193938.0,,,,
Illinois,14.1,374473.0,13.9,90380.0,13.5,268995.0,11.4,1399249.0,79717.0,15.3,406145.0,16.1,103990.0,14.9,298229.0,11.8,1450539.0,80975.0,80346.0,14.7,15.0,14.2,11.6,390309.0,97185.0,283612.0,1424894.0,,,,
Indiana,14.4,223654.0,15.3,60388.0,13.1,151532.0,11.9,798319.0,68663.0,15.8,246318.0,17.9,70492.0,14.9,171580.0,12.5,833297.0,70253.0,69458.0,15.1,16.6,14.0,12.2,234986.0,65440.0,161556.0,815808.0,,,,
