Area_Name,Civilian_labor_force_2000,Civilian_labor_force_2001,Civilian_labor_force_2002,Civilian_labor_force_2003,Civilian_labor_force_2004,Civilian_labor_force_2005,Civilian_labor_force_2006,Civilian_labor_force_2007,Civilian_labor_force_2008,Civilian_labor_force_2009,Civilian_labor_force_2010,Civilian_labor_force_2011,Civilian_labor_force_2012,Civilian_labor_force_2013,Civilian_labor_force_2014,Civilian_labor_force_2015,Civilian_labor_force_2016,Civilian_labor_force_2017,Civilian_labor_force_2018,Civilian_labor_force_2019,Civilian_labor_force_2020,Civilian_labor_force_2021,Civilian_labor_force_2022,Civilian_labor_force_2023,Employed_2000,Employed_2001,Employed_2002,Employed_2003,Employed_2004,Employed_2005,Employed_2006,Employed_2007,Employed_2008,Employed_2009,Employed_2010,Employed_2011,Employed_2012,Employed_2013,Employed_2014,Employed_2015,Employed_2016,Employed_2017,Employed_2018,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Med_HH_Income_Percent_of_State_Total_2022,Median_Household_Income_2022,Metro_2023,Rural_Urban_Continuum_Code_2023,Unemployed_2000,Unemployed_2001,Unemployed_2002,Unemployed_2003,Unemployed_2004,Unemployed_2005,Unemployed_2006,Unemployed_2007,Unemployed_2008,Unemployed_2009,Unemployed_2010,Unemployed_2011,Unemployed_2012,Unemployed_2013,Unemployed_2014,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployment_rate_2000,Unemployment_rate_2001,Unemployment_rate_2002,Unemployment_rate_2003,Unemployment_rate_2004,Unemployment_rate_2005,Unemployment_rate_2006,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,Unemployment_rate_2020,Unemployment_rate_2021,Unemployment_rate_2022,Unemployment_rate_2023,Urban_Influence_Code_2013
"Abbeville County, SC",12424.0,12257.0,11854.0,11833.0,12011.0,12092.0,12276.0,11693.0,11439.0,11339.0,11026.0,10825.0,10697.0,10570.0,10570.0,10342.0,10252.0,9758.0,9726.0,9876.0,9771.0,9596.0,9475.0,9565.0,11954.0,11437.0,10847.0,10712.0,10941.0,11081.0,11126.0,10680.0,10452.0,9709.0,9506.0,9493.0,9584.0,9590.0,9776.0,9637.0,9702.0,9316.0,9346.0,9555.0,9142.0,9166.0,9111.0,9214.0,78.4,50325.0,0.0,6.0,470.0,820.0,1007.0,1121.0,1070.0,1011.0,1150.0,1013.0,987.0,1630.0,1520.0,1332.0,1113.0,980.0,794.0,705.0,550.0,442.0,380.0,321.0,629.0,430.0,364.0,351.0,3.8,6.7,8.5,9.5,8.9,8.4,9.4,8.7,8.6,14.4,13.8,12.3,10.4,9.3,7.5,6.8,5.4,4.5,3.9,3.3,6.4,4.5,3.8,3.7,5.0
"Acadia Parish, LA",23815.0,23697.0,23755.0,24015.0,23822.0,25526.0,26119.0,26261.0,26855.0,26214.0,26121.0,25897.0,26267.0,26346.0,26543.0,25710.0,24540.0,24068.0,23955.0,23905.0,23197.0,23428.0,23726.0,23860.0,22469.0,22310.0,22298.0,22413.0,22503.0,23981.0,25244.0,25310.0,25791.0,24527.0,24332.0,24257.0,24767.0,24838.0,25045.0,23962.0,22724.0,22647.0,22682.0,22677.0,21408.0,22228.0,22861.0,22974.0,77.5,42981.0,1.0,2.0,1346.0,1387.0,1457.0,1602.0,1319.0,1545.0,875.0,951.0,1064.0,1687.0,1789.0,1640.0,1500.0,1508.0,1498.0,1748.0,1816.0,1421.0,1273.0,1228.0,1789.0,1200.0,865.0,886.0,5.7,5.9,6.1,6.7,5.5,6.1,3.4,3.6,4.0,6.4,6.8,6.3,5.7,5.7,5.6,6.8,7.4,5.9,5.3,5.1,7.7,5.1,3.6,3.7,2.0
"Accomack County, VA",18130.0,18404.0,19082.0,19326.0,19173.0,18847.0,18578.0,18810.0,18986.0,19790.0,16831.0,16564.0,16388.0,16226.0,16112.0,15938.0,15820.0,16789.0,16815.0,16657.0,15893.0,15338.0,15584.0,16202.0,17592.0,17770.0,18258.0,18437.0,18201.0,17896.0,17722.0,17974.0,17964.0,18478.0,15471.0,15177.0,15123.0,15083.0,15056.0,15082.0,15060.0,16035.0,16169.0,16074.0,14824.0,14679.0,15086.0,15631.0,65.7,56357.0,0.0,9.0,538.0,634.0,824.0,889.0,972.0,951.0,856.0,836.0,1022.0,1312.0,1360.0,1387.0,1265.0,1143.0,1056.0,856.0,760.0,754.0,646.0,583.0,1069.0,659.0,498.0,571.0,3.0,3.4,4.3,4.6,5.1,5.0,4.6,4.4,5.4,6.6,8.1,8.4,7.7,7.0,6.6,5.4,4.8,4.5,3.8,3.5,6.7,4.3,3.2,3.5,6.0
"Ada County, ID",170264.0,175821.0,175987.0,177508.0,178256.0,186803.0,193098.0,196976.0,197620.0,198030.0,197285.0,200106.0,205064.0,208167.0,210952.0,217455.0,225135.0,236081.0,246290.0,256280.0,263395.0,271828.0,280810.0,286174.0,164533.0,169047.0,167561.0,168962.0,171101.0,180684.0,187965.0,191741.0,188197.0,180477.0,181222.0,185656.0,192057.0,196090.0,203035.0,210124.0,217925.0,229402.0,240148.0,249875.0,248859.0,263088.0,274032.0,278326.0,120.8,87748.0,1.0,2.0,5731.0,6774.0,8426.0,8546.0,7155.0,6119.0,5133.0,5235.0,9423.0,17553.0,16063.0,14450.0,13007.0,12077.0,7917.0,7331.0,7210.0,6679.0,6142.0,6405.0,14536.0,8740.0,6778.0,7848.0,3.4,3.9,4.8,4.8,4.0,3.3,2.7,2.7,4.8,8.9,8.1,7.2,6.3,5.8,3.8,3.4,3.2,2.8,2.5,2.5,5.5,3.2,2.4,2.7,2.0
"Adair County, IA",4463.0,4551.0,4426.0,4288.0,4307.0,4396.0,4427.0,4404.0,4384.0,4212.0,4095.0,4113.0,4064.0,4078.0,4151.0,4224.0,4255.0,4176.0,4188.0,4326.0,4204.0,4300.0,4317.0,4415.0,4342.0,4426.0,4265.0,4115.0,4127.0,4219.0,4286.0,4250.0,4209.0,3969.0,3864.0,3910.0,3885.0,3906.0,3985.0,4089.0,4131.0,4061.0,4087.0,4228.0,4042.0,4177.0,4223.0,4310.0,96.1,66997.0,0.0,8.0,121.0,125.0,161.0,173.0,180.0,177.0,141.0,154.0,175.0,243.0,231.0,203.0,179.0,172.0,166.0,135.0,124.0,115.0,101.0,98.0,162.0,123.0,94.0,105.0,2.7,2.7,3.6,4.0,4.2,4.0,3.2,3.5,4.0,5.8,5.6,4.9,4.4,4.2,4.0,3.2,2.9,2.8,2.4,2.3,3.9,2.9,2.2,2.4,7.0
"Adair County, KY",8203.0,8710.0,8669.0,8798.0,8414.0,8640.0,8879.0,8926.0,8885.0,9240.0,7852.0,7766.0,7829.0,7559.0,7224.0,7219.0,7083.0,7169.0,7185.0,7124.0,6979.0,7172.0,7139.0,7216.0,7794.0,8293.0,8193.0,8278.0,7960.0,8159.0,8376.0,8408.0,8272.0,8204.0,6867.0,6854.0,7082.0,6799.0,6602.0,6707.0,6622.0,6744.0,6836.0,6760.0,6488.0,6831.0,6802.0,6853.0,74.5,44153.0,0.0,7.0,409.0,417.0,476.0,520.0,454.0,481.0,503.0,518.0,613.0,1036.0,985.0,912.0,747.0,760.0,622.0,512.0,461.0,425.0,349.0,364.0,491.0,341.0,337.0,363.0,5.0,4.8,5.5,5.9,5.4,5.6,5.7,5.8,6.9,11.2,12.5,11.7,9.5,10.1,8.6,7.1,6.5,5.9,4.9,5.1,7.0,4.8,4.7,5.0,9.0
"Adair County, MO",13738.0,13776.0,13297.0,13315.0,13063.0,13397.0,13759.0,13605.0,13763.0,13664.0,11036.0,10866.0,10675.0,10745.0,10557.0,10380.0,10359.0,10460.0,10615.0,10270.0,10006.0,9757.0,9771.0,9857.0,13334.0,13197.0,12727.0,12655.0,12415.0,12828.0,13163.0,12953.0,13033.0,12787.0,10089.0,9914.0,9900.0,10001.0,9873.0,9784.0,9772.0,10016.0,10236.0,9875.0,9489.0,9353.0,9468.0,9499.0,71.7,46433.0,0.0,7.0,404.0,579.0,570.0,660.0,648.0,569.0,596.0,652.0,730.0,877.0,947.0,952.0,775.0,744.0,684.0,596.0,587.0,444.0,379.0,395.0,517.0,404.0,303.0,358.0,2.9,4.2,4.3,5.0,5.0,4.2,4.3,4.8,5.3,6.4,8.6,8.8,7.3,6.9,6.5,5.7,5.7,4.2,3.6,3.8,5.2,4.1,3.1,3.6,8.0
"Adair County, OK",9187.0,9152.0,9183.0,9792.0,9892.0,9976.0,10390.0,10855.0,10809.0,11203.0,8873.0,8806.0,8450.0,8243.0,8082.0,8156.0,8141.0,8192.0,8133.0,8085.0,8326.0,8579.0,8674.0,8798.0,8868.0,8777.0,8742.0,9038.0,9301.0,9510.0,9946.0,10356.0,10299.0,10281.0,7980.0,8038.0,7701.0,7459.0,7457.0,7673.0,7683.0,7808.0,7807.0,7766.0,7830.0,8250.0,8380.0,8467.0,80.2,47799.0,0.0,8.0,319.0,375.0,441.0,754.0,591.0,466.0,444.0,499.0,510.0,922.0,893.0,768.0,749.0,784.0,625.0,483.0,458.0,384.0,326.0,319.0,496.0,329.0,294.0,331.0,3.5,4.1,4.8,7.7,6.0,4.7,4.3,4.6,4.7,8.2,10.1,8.7,8.9,9.5,7.7,5.9,5.6,4.7,4.0,3.9,6.0,3.8,3.4,3.8,6.0
"Adams County, CO",186637.0,187740.0,193647.0,200973.0,205757.0,210632.0,218642.0,221445.0,227365.0,229197.0,233563.0,236016.0,238797.0,241599.0,244942.0,247743.0,253599.0,258513.0,266910.0,271471.0,269887.0,277847.0,281314.0,284585.0,181511.0,180168.0,181517.0,186591.0,192416.0,198527.0,208193.0,212201.0,215050.0,208259.0,209082.0,211759.0,216056.0,222280.0,230977.0,237372.0,244903.0,251187.0,258313.0,263771.0,249638.0,260499.0,271745.0,274865.0,100.8,89849.0,1.0,1.0,5126.0,7572.0,12130.0,14382.0,13341.0,12105.0,10449.0,9244.0,12315.0,20938.0,24481.0,24257.0,22741.0,19319.0,13965.0,10371.0,8696.0,7326.0,8597.0,7700.0,20249.0,17348.0,9569.0,9720.0,2.7,4.0,6.3,7.2,6.5,5.7,4.8,4.2,5.4,9.1,10.5,10.3,9.5,8.0,5.7,4.2,3.4,2.8,3.2,2.8,7.5,6.2,3.4,3.4,1.0
"Adams County, IA",2335.0,2289.0,2170.0,2128.0,2094.0,1995.0,2057.0,2102.0,2115.0,2142.0,2234.0,2218.0,2191.0,2153.0,2212.0,2289.0,2227.0,2154.0,2144.0,2210.0,2040.0,2044.0,2101.0,2054.0,2245.0,2192.0,2068.0,2022.0,1989.0,1890.0,1964.0,2014.0,2026.0,2011.0,2124.0,2118.0,2104.0,2074.0,2138.0,2226.0,2169.0,2104.0,2102.0,2173.0,1964.0,1989.0,2058.0,2008.0,84.6,58973.0,0.0,9.0,90.0,97.0,102.0,106.0,105.0,105.0,93.0,88.0,89.0,131.0,110.0,100.0,87.0,79.0,74.0,63.0,58.0,50.0,42.0,37.0,76.0,55.0,43.0,46.0,3.9,4.2,4.7,5.0,5.0,5.3,4.5,4.2,4.2,6.1,4.9,4.5,4.0,3.7,3.3,2.8,2.6,2.3,2.0,1.7,3.7,2.7,2.0,2.2,12.0
